,MI_dir_L.1_weight,MI_dir_L.1_mean,MI_dir_L.1_variance,H_L.1_weight,H_L.1_mean,H_L.1_variance,HH_L.1_mean,HH_L.1_std,HH_L.1_magnitude,HH_L.1_radius,HH_L.1_covariance,HH_L.1_pcc,HH_jit_L.1_weight,HH_jit_L.1_mean,HH_jit_L.1_variance,HpHp_L.1_weight,HpHp_L.1_mean,HpHp_L.1_std,HpHp_L.1_magnitude,HpHp_L.1_radius,HpHp_L.1_covariance,HpHp_L.1_pcc,HH_L.1_weight
23,19.81284572,74.82762915,436.167568,19.81284572,74.82762915,436.167568,71.1435311,8.71863556,235.487134,44712.63586,-884.5739,-0.51795754,5.88893279,246491386.2,3.10E+01,1,6,,6,,,,5.88893279
24,2.887615,74.115625,425.2646667,2.887615,74.115625,425.2646667,6,9.54E-01,6,9.90E-01,,,1.999793727,75275147.7,5.67E+02,1.999793727,6,9.54E-01,6,9.90E-01,,,1.999793727
25,21.887633,73.46784265,414.481641,21.887633,73.46784265,414.481641,69.41522371,8.411394293,22.1739775,41494.6214,-455.327725,-0.265741817,6.88771857,2174298.5,2.73E+02,1.99979383,6,6.74E-01,6,4.55E-01,,,6.88771857
26,22.834592,72.8772267,43.91512,22.834592,72.8772267,43.91512,6,9.54E-01,6,9.90E-01,,,2.999269664,51772932.3,5.40E+01,2.999269664,6,9.54E-01,6,9.90E-01,,,2.999269664
27,23.834482,72.33623596,393.615446,23.834482,72.33623596,393.615446,68.22129434,8.4614167,28.58641,38588.8394,-186.7646312,-0.112362635,7.885913431,183985225.3,2.43E+02,2.999269713,6,9.54E-01,6,9.90E-01,,,7.885913431
28,24.79936516,71.83879436,383.6325528,24.79936516,71.83879436,383.6325528,6,9.54E-01,6,9.90E-01,,,3.99885869,376292239.2,4.25E+02,3.99885869,6,9.54E-01,6,9.90E-01,,,3.99885869
29,25.789166,71.37973349,373.988143,25.789166,71.37973349,373.988143,67.2956243,8.3837613,198.237758,35995.72432,-12.212161,-0.767771,8.881449761,16326955.5,2.19E+02,3.99757234,6,,6,,,,8.881449761
3,26.78664579,7.9549488,364.673364,26.78664579,7.9549488,364.673364,6,9.54E-01,6,9.90E-01,,,4.99677639,3985152.6,3.63E+02,4.99677639,6,9.54E-01,6,9.90E-01,,,4.99677639
31,27.786643,7.5665413,355.712818,27.786643,7.5665413,355.712818,66.55724411,8.247149599,19.1187752,33687.7836,14.295194,0.689746,9.88582955,146745267.3,1.99E+02,4.997181882,6,6.74E-01,6,4.55E-01,,,9.88582955
32,28.78664167,7.19379459,347.956221,28.78664167,7.19379459,347.956221,6,1.17E-01,6,1.36E-01,,,5.996769879,25793939.9,3.15E+02,5.996769879,6,1.17E-01,6,1.36E-01,,,5.996769879
33,29.7866415,69.85156753,338.8143672,29.7866415,69.85156753,338.8143672,65.95458849,8.84117442,189.986351,33687.77779,147.869399,0.9913141,1.8858227,133258372.6,1.83E+02,5.997181535,6,6.74E-01,6,4.55E-01,,,1.8858227
34,3.78154531,69.53151967,33.857848,3.78154531,69.53151967,33.857848,65.4533653,7.91162897,17.899929,28473.71237,28.354545,0.2115448,11.8787288,122413,1.69E+02,1,6,,84.85281374,,,,11.8787288
35,31.777141,69.2315773,323.215286,31.777141,69.2315773,323.215286,6,1.35E-01,6,1.82E-01,,,6.994885966,214944.2,2.77E+02,6.994885966,6,1.35E-01,6,1.82E-01,,,6.994885966
36,32.77713727,68.9499249,315.8747545,32.77713727,68.9499249,315.8747545,65.2981517,7.736588234,17.7381834,28473.765,35.7973862,0.23424919,12.8771984,112562771.8,1.57E+02,6.995296918,6,6.74E-01,6,4.55E-01,,,12.8771984
37,33.77338332,68.68492476,38.8234817,33.77338332,68.68492476,38.8234817,6,1.35E-01,6,1.82E-01,,,7.9948424,18852652,2.48E+02,7.9948424,6,1.35E-01,6,1.82E-01,,,7.9948424
38,34.77338192,68.43516692,32.491998,34.77338192,68.43516692,32.491998,64.667322,7.565248682,17.64476,28473.7111,326.9859676,0.256144116,13.87554451,1445457.9,1.46E+02,7.994495461,6,9.54E-01,6,9.90E-01,,,13.87554451
39,35.76574326,68.1993225,295.5377582,35.76574326,68.1993225,295.5377582,6,9.54E-01,6,9.90E-01,,,8.992327635,1671485.3,2.24E+02,8.992327635,6,9.54E-01,6,9.90E-01,,,8.992327635
4,36.76574131,67.9763677,289.2781959,36.76574131,67.9763677,289.2781959,64.35349794,7.399389739,17.4817383,28473.69623,344.664985,0.27644846,14.87249572,97427396.4,1.37E+02,8.992738876,6,,6,,,,14.87249572
41,37.7645477,67.7657238,283.2575693,37.7645477,67.7657238,283.2575693,6,6.74E-01,6,4.55E-01,,,9.99134139,1541177.7,2.40E+01,9.99134139,6,6.74E-01,6,4.55E-01,,,9.99134139
42,38.7645321,67.56473746,277.465149,38.7645321,67.56473746,277.465149,64.7918161,7.2417277,17.3783787,28473.69185,359.421533,0.294193983,15.8735659,91288441.6,1.29E+02,9.991445439,6,,6,,,,15.8735659
43,39.75414729,67.5253771,27.5456613,39.75414729,67.5253771,27.5456613,88.99954456,35.37525397,139.79723,3112.218812,59.516867,0.31246626,3.99273328,375359646,4.24E+02,3.99273328,88.99954456,35.37525397,139.79723,3112.218812,59.516867,0.31246626,3.99273328
44,4.72763148,67.6843581,264.968798,4.72763148,67.6843581,264.968798,85.99218451,32.1958788,137.8127779,332.22296,29.29812,0.168754699,4.987611836,311254.2,3.62E+02,1,74,,74,,,,4.987611836
45,41.63363,67.49963234,259.9242981,41.63363,67.49963234,259.9242981,6,,6,,,,1,15565741,,1,6,,6,,,,1
46,42.57829537,67.46441175,253.8712559,42.57829537,67.46441175,253.8712559,82.6436691,3.3943792,129.1428425,2521.139561,374.829127,0.255225452,5.96938863,249827889.1,3.14E+02,1.99634636,69.99267924,3.99999331,11.8576219,15.99994641,,,5.96938863
47,43.5661493,69.1293651,366.42899,43.5661493,69.1293651,366.42899,9.87491671,34.51385571,134.5594581,2632.712871,114.1532819,0.68259576,6.96768463,213972665.6,2.76E+02,2.995776427,93.36135259,33.17442432,119.131617,11.542429,,,6.96768463
48,44.3855493,69.588687,358.91175,44.3855493,69.588687,358.91175,87.74158287,33.3587423,138.923452,358.47977,197.67281,0.1183598,7.93881913,187199.3,2.47E+02,3.98335823,86.49243671,31.6474171,138.14416,39.66725,57.139652,0.35683723,7.93881913
49,45.3852334,68.99146316,35.322562,45.3852334,68.99146316,35.322562,85.3929716,32.1277415,137.397638,331.28451,-11.23152432,-0.6548377,8.938745459,16697512.3,2.22E+02,4.98332994,82.3823922,28.9679574,135.672688,2971.575632,134.369871,0.8689268,8.938745459
5,46.32515352,68.9268878,342.9492585,46.32515352,68.9268878,342.9492585,83.3641586,31.153176,136.1978656,38.1655,-174.96833,-0.15632273,9.926912562,14936547.9,2.30E+01,4.95179471,84.3533438,32.92235273,136.7961695,348.717953,169.996,0.9667526,9.926912562
51,47.2812491,68.8649842,335.8732223,47.2812491,68.8649842,335.8732223,81.77366342,29.9821976,13.54925,282.516819,-22.77757647,-0.14745489,1.9175263,135684185.4,1.86E+02,5.97215539,79.6374657,27.123628,125.734371,257.527331,294.8587126,0.2194554,1.9175263
52,48.19273946,97.93855468,4219.62923,48.19273946,97.93855468,4219.62923,147,,147,,,,1,15565742,,1,147,,147,,,,1
53,49.1983213,97.451981,39413.41753,49.1983213,97.451981,39413.41753,74,,74,,,,1,15565742,,1,74,,74,,,,1
54,5.17884524,96.82511184,38647.27975,5.17884524,96.82511184,38647.27975,8.44747465,29.264,126.181961,26.68725,74.592159,0.5175739,11.8939857,124276382.5,1.72E+02,5.9348319,81.2686182,3.79682936,126.662282,2634.51871,345.7482869,0.22645185,11.8939857
55,51.14947611,96.35931798,3792.5851,51.14947611,96.35931798,3792.5851,73,,73,,,,1,15565742,,1,73,,73,,,,1
56,51.95127482,95.65944453,37197.9627,51.95127482,95.65944453,37197.9627,66.9835929,6.99998575,94.3611283,48.9997286,,,1.995299441,75155175.3,5.67E+02,1.995299441,66.9835929,6.99998575,94.3611283,48.9997286,,,1.995299441
57,52.9487942,97.21454237,36621.6489,52.9487942,97.21454237,36621.6489,14.482583,52.66538786,123.2154213,2773.64378,,,2.99524168,532594.4,5.30E+01,2.99524168,14.482583,52.66538786,123.2154213,2773.64378,,,2.99524168
58,53.8793292,96.52292423,35965.73622,53.8793292,96.52292423,35965.73622,93.94156,49.4225899,712.2823853,41871.267,22548.9278,0.7595616,3.987235935,374826549.8,4.24E+02,3.987235935,93.94156,49.4225899,712.2823853,41871.267,22548.9278,0.7595616,3.987235935
59,54.8793247,95.85654397,35333.41625,54.8793247,95.85654397,35333.41625,86.3838613,46.12376135,711.4486578,41878.4867,16886.35531,0.565793727,4.98723592,299669377.2,3.61E+02,4.98723592,86.3838613,46.12376135,711.4486578,41878.4867,16886.35531,0.565793727,4.98723592
6,55.77952678,1.955896,36121.45893,55.77952678,1.955896,36121.45893,135.445397,117.3462753,719.566564,418929.4546,41489.63111,0.54648171,5.984651133,249596387,3.14E+02,5.984651133,135.445397,117.3462753,719.566564,418929.4546,41489.63111,0.54648171,5.984651133
61,56.63433546,1.2275196,35512.74483,56.63433546,1.2275196,35512.74483,124.6196486,111.7757141,6.2664575,391334.817,2195.35215,0.288895287,6.96973385,213781527.2,2.76E+02,6.96973385,124.6196486,111.7757141,6.2664575,391334.817,2195.35215,0.288895287,6.96973385
62,57.63315498,13.279652,35399.63427,57.63315498,13.279652,35399.63427,143.114244,115.36759,64.3768586,391361.7135,92.21857,0.127511792,7.968928122,186954641.1,2.47E+02,7.968928122,143.114244,115.36759,64.3768586,391361.7135,92.21857,0.127511792,7.968928122
63,58.57984554,12.473742,34826.66288,58.57984554,12.473742,34826.66288,6,,6,,,,1.97955517,74553434.1,5.67E+02,1.97955517,6,,6,,,,1.97955517
64,59.56717147,12.261244,34244.5677,59.56717147,12.261244,34244.5677,75.147265,14.99927766,75.147265,224.978334,,,3.979766,3758724.6,4.21E+02,2.946258696,8.912334,14.1955876,8.912334,199.796485,,,3.979766
65,6.5671698,12.585876,33681.6162,6.5671698,12.585876,33681.6162,75.147262,14.99927766,96.997667,224.98938,1.56329797,0.74619145,3.9797828,3758731.9,4.21E+02,2.94625883,8.912343,14.1955873,1.6757214,199.821592,9.762828541,0.69193111,3.9797828
66,61.56661189,11.8627252,33136.85817,61.56661189,11.8627252,33136.85817,75.14725651,14.99927717,96.99767679,224.98788,1.55181489,0.74539386,3.97885156,3757463,4.21E+02,2.9462453,8.9124795,14.1954267,1.6757568,199.81759,9.762744484,0.691924941,3.97885156
67,62.4649585,11.6888116,3268.1924,62.4649585,11.6888116,3268.1924,137.2886519,19.9615297,461.5967357,29181.551,-4643.418366,-0.7832786,8.94641541,16656611.5,2.22E+02,8.94641541,137.2886519,19.9615297,461.5967357,29181.551,-4643.418366,-0.7832786,8.94641541
68,63.4561834,11.318416,32121.27931,63.4561834,11.318416,32121.27931,129.5173741,16.8456257,459.3453196,29154.2712,-1429.662314,-0.24811721,9.94542388,149359825.8,2.30E+01,9.94542388,129.5173741,16.8456257,459.3453196,29154.2712,-1429.662314,-0.24811721,9.94542388
69,6.6155511,12.3181158,31689.9948,6.6155511,12.3181158,31689.9948,799.986813,645.343817,799.986813,41669.3535,,,1.92682774,724239655.2,5.66E+02,1,179,,179,,,,1.92682774
7,6.398592,11.6164374,31193.7432,6.398592,11.6164374,31193.7432,6,,6,,,,1,155657416,,1.861264237,6,,6,,,,1
71,6.89278585,1.9329995,379.44497,6.89278585,1.9329995,379.44497,6,,6,,,,1.99384628,75216631.4,5.67E+02,2.84839292,6,6.74E-01,6,4.55E-01,,,1.99384628
72,61.47184416,1.2671174,3236.68884,61.47184416,1.2671174,3236.68884,6,9.54E-01,6,9.90E-01,,,2.97936766,4984756.2,5.20E+01,3.82872436,6,,6,,,,2.97936766
73,62.4652213,99.61813478,29775.7746,62.4652213,99.61813478,29775.7746,6,9.54E-01,6,9.90E-01,,,3.95869322,37255471.8,4.22E+02,4.82211747,6,6.74E-01,6,4.55E-01,,,3.95869322
74,62.61849118,98.98544411,29324.24343,62.61849118,98.98544411,29324.24343,6,,6,,,,4.931383786,296967755.2,3.59E+02,5.76983456,6,9.54E-01,6,9.90E-01,,,4.931383786
75,63.18334465,98.36842321,28883.844,63.18334465,98.36842321,28883.844,6,,6,,,,5.897114762,24669611.2,3.10E+01,6.728993115,6,9.54E-01,6,9.90E-01,,,5.897114762
76,63.6923446,97.766274,28453.6494,63.6923446,97.766274,28453.6494,6,9.54E-01,6,9.90E-01,,,6.851287685,21614974.7,2.73E+02,7.67671426,6,9.54E-01,6,9.90E-01,,,6.851287685
77,64.3142634,97.1788957,2832.4896,64.3142634,97.1788957,2832.4896,6,9.54E-01,6,9.90E-01,,,7.81612376,183649742.8,2.43E+02,8.631125731,6,1.17E-01,6,1.36E-01,,,7.81612376
78,64.86561461,96.6564288,27621.3818,64.86561461,96.6564288,27621.3818,6,9.54E-01,6,9.90E-01,,,8.756133338,16267592.6,2.18E+02,9.5792361,6,6.74E-01,6,4.55E-01,,,8.756133338
79,65.42212125,96.4611283,27219.27571,65.42212125,96.4611283,27219.27571,6,,6,,,,9.696266687,145898733.9,1.98E+02,1.5548615,6,6.74E-01,6,4.55E-01,,,9.696266687
8,65.97144886,95.49972324,26826.864,65.97144886,95.49972324,26826.864,6,,6,,,,1.62947216,132172865.8,1.82E+02,11.43311716,6,6.74E-01,6,4.55E-01,,,1.62947216
81,66.51556682,94.9661775,26441.4369,66.51556682,94.9661775,26441.4369,6,6.74E-01,6,4.55E-01,,,11.5561939,12735288.5,1.67E+02,12.3541197,6,6.74E-01,6,4.55E-01,,,11.5561939
82,67.567771,94.44457332,2665.7955,67.567771,94.44457332,2665.7955,6,9.54E-01,6,9.90E-01,,,12.4761949,1115832.7,1.55E+02,13.26876886,6,6.74E-01,6,4.55E-01,,,12.4761949
83,68.5544329,94.14416277,25688.13335,68.5544329,94.14416277,25688.13335,64.7841765,7.429137837,194.4634768,35265.88438,434.57179,0.311491286,14.7219376,8481292.89,1.20E+01,1,74,,74,,,,14.7219376
84,69.5271724,93.73658775,25327.4352,69.5271724,93.73658775,25327.4352,64.86484576,7.184822627,187.166369,33545.3548,292.213237,0.222497,15.71638,79174742.5,1.13E+02,1.999959944,69.99991989,3.999999999,11.8625976,15.99999999,,,15.71638
85,7.5237318,95.1175122,2596.27393,7.5237318,95.1175122,2596.27393,72.6597189,31.178167,19.51635,33559.1917,-59.974421,-0.8961368,16.7155498,74248352.4,1.60E+01,2.999949979,11.6136,56.6631729,132.575164,321.697529,,,16.7155498
86,71.58358,94.713399,24754.8175,71.58358,94.713399,24754.8175,72.261375,3.1361152,346.474356,196593.7212,17181.75182,1.285871993,17.712227,6989918.88,1.00E+00,3.999884141,99.14154,52.644551,684.4149,38459.1856,3187.61278,0.957457486,17.712227
87,72.54687,94.326874,24422.5154,72.54687,94.326874,24422.5154,71.91488476,29.32538758,346.419376,196593.544,1664.2192,1.279772498,18.719922,663118.48,9.51E+02,4.999859994,92.39992842,48.8982955,683.116985,38456.679,2872.5694,0.951636361,18.719922
88,73.5418,93.91524495,2499.513,73.5418,93.91524495,2499.513,71.6473414,28.57661938,346.3376816,196593.3195,16131.1875,1.273124466,19.71765,62568641.47,9.30E+01,5.999834661,87.9998191,45.791539,682.535741,38454.8313,26646.73812,0.945132292,19.71765
89,74.4898356,93.53826145,23783.93979,74.4898356,93.53826145,23783.93979,71.3254852,27.882375,346.28551,196593.166,15651.4875,1.2662483,2.773138,59451234.32,8.60E+01,6.999747744,84.85687454,43.1286775,682.1376383,38453.5928,24862.98551,0.937144586,2.773138
9,75.479418,93.27791771,23472.426,75.479418,93.27791771,23472.426,71.4524176,27.2185672,332.995691,19312.8563,14924.72445,1.256923212,21.744882,56629688.62,8.21E+02,1,74,,74,,,,21.744882
91,76.4465986,92.9192853,23173.3695,76.4465986,92.9192853,23173.3695,71.25367,26.6189247,321.287977,184124.93,14261.45914,1.248586873,22.6952758,5463721.21,7.85E+02,1.999956278,69.99991255,3.999999999,11.8625925,15.99999999,,,22.6952758
92,77.4365726,99.98118885,26664.67523,77.4365726,99.98118885,26664.67523,95.73129751,118.122788,327.5976832,184651.4914,865.4946,0.159116989,23.6923661,5172179.37,7.52E+02,2.99992991,259.43575,267.379182,269.3682557,71453.52314,,,23.6923661
93,78.3645259,99.5457369,26337.58769,78.3645259,99.5457369,26337.58769,94.49594622,115.7947465,322.9443614,165432.668,5384.799848,0.114521163,24.677931,49571178.29,7.22E+02,3.999649374,21.749382,246.1168166,39.3851342,67331.72122,281.17756,0.66352959,24.677931
94,79.3644821,99.1213234,2618.4124,79.3644821,99.1213234,2618.4124,93.3591585,113.5985173,322.613561,165392.5357,582.155461,0.1117436,25.677796,47593637.14,6.94E+02,4.99964915,181.797199,227.6191593,29.4379895,59571.2967,18314.94767,0.46926321,25.677796
95,8.3331899,98.8741679,2571.1398,8.3331899,98.8741679,2571.1398,92.61646323,111.462,313.1223868,16143.99,532.5564,0.118724953,26.66855,45767753.57,6.68E+02,1,74,,74,,,,26.66855
96,81.311156,98.4253747,25397.4343,81.311156,98.4253747,25397.4343,91.6333729,19.4968725,34.5762396,156726.9556,5463.385687,0.126219239,27.65487,4476725.14,6.44E+02,1.999959924,69.99991985,3.999999999,11.8625975,15.99999999,,,27.65487
97,82.2968359,15.269994,28898.9525,82.2968359,15.269994,28898.9525,111.925496,15.67127,311.2816757,15798.785,968.4155249,0.16259114,28.6489792,4256196.53,6.22E+02,2.999949361,267.32719,278.624277,277.681274,77629.34272,,,28.6489792
98,83.2674792,14.7881277,28569.2241,83.2674792,14.7881277,28569.2241,11.345635,148.2928519,38.9987471,144621.781,-33.936184,-0.64712,29.6389354,4143687.85,6.10E+01,3.999841999,216.75469,256.59135,31.983853,7137.16866,28556.6427,0.66952783,29.6389354
99,84.26129,14.326577,28246.91223,84.26129,14.326577,28246.91223,18.8656748,146.223227,38.4751545,144521.6779,-293.539972,-0.531753,3.6366775,39678462.28,5.82E+02,4.99981925,186.599235,237.2197659,29.773857,62698.86228,18817.3578,0.47753584,3.6366775
1,85.2463168,13.9698286,27925.3815,85.2463168,13.9698286,27925.3815,17.7432617,143.7844482,38.88274,144427.4161,-49.787181,-0.915232,31.6314136,3841113.62,5.63E+02,1,74,,74,,,,31.6314136
11,86.2338873,13.528439,27617.3271,86.2338873,13.528439,27617.3271,16.4413353,141.713413,294.4486321,13878.9856,234.977535,0.448617,32.6268726,3723425.6,5.46E+02,1.999985381,69.9999776,4,11.8626325,16,,,32.6268726
12,87.211885,19.658836,3532.75127,87.211885,19.658836,3532.75127,122.4887868,166.526314,3.622258,139397.438,-2988.1915,-0.48549274,33.6186434,3678158.5,5.30E+01,2.9999345,259.41355,267.377986,269.368423,71453.45919,,,33.6186434
13,88.17628,19.1627767,327.26513,88.17628,19.1627767,327.26513,12.832922,164.344223,3.176149,12995.56,-2833.654822,-0.48362359,34.62783,3518913.68,5.15E+02,3.99979137,21.755699,246.117639,39.3862145,67332.8242,281.359,0.66352177,34.62783
14,89.1634794,18.677897,29888.6139,89.1634794,18.677897,29888.6139,119.2663944,162.236735,299.55521,12989.514,-3112.132387,-0.5383915,35.62354,34286.24,5.10E+01,4.9997622,181.799676,227.62488,29.4391983,59571.82285,18314.8878,0.4692569,35.62354
15,9.1382626,18.29264,29569.7846,9.1382626,18.29264,29569.7846,118.1153,16.1438787,293.5853316,12733.227,-2469.448614,-0.4366856,36.59335,337663.86,4.87E+02,1,74,,74,,,,36.59335
16,91.575735,17.8279151,29264.29685,91.575735,17.8279151,29264.29685,116.674656,158.1929227,288.71199,124791.3855,-1911.26994,-0.34553899,37.5579799,3218413.98,4.74E+02,1.99991359,69.9998271,3.999999996,11.8625294,15.99999997,,,37.5579799
17,92.56432,114.1337466,32564.938,92.56432,114.1337466,32564.938,131.622826,18.89613,294.469747,126559.5397,-473.27531,-0.74788672,38.5575151,3133837.2,4.62E+02,2.99997851,276.6283,291.3486215,285.7541373,84884.1923,,,38.5575151
18,93.171862,113.616189,32239.4214,93.171862,113.616189,32239.4214,129.9417972,178.8597554,297.36593,12992.54,-2721.26589,-0.44535931,39.5412821,3535874.38,4.50E+01,3.999779887,223.51767,268.22776,339.885827,85599.17967,35976.93792,0.622729132,39.5412821
19,94.171355,113.196431,3192.3173,94.171355,113.196431,3192.3173,128.3454124,176.8944595,296.6123471,1289.256,-324.737831,-0.5335743,4.541268,2977359.12,4.39E+02,4.999779669,192.254,248.19554,319.25328,7752.1243,22431.17431,0.419855942,4.541268
11,95.8851,112.6979661,316.24762,95.8851,112.6979661,316.24762,127.216496,174.9274878,296.419549,12631.6311,-3599.8526,-0.624441,41.537444,2948276.56,4.29E+02,1,74,,74,,,,41.537444
111,95.9979699,112.2115187,31293.5588,95.9979699,112.2115187,31293.5588,125.575675,173.849937,286.74542,116715.7558,-272.953664,-0.4685486,42.5251341,28357514.6,4.19E+02,1.99997112,69.9999422,4,11.8626115,16,,,42.5251341
112,96.99693,117.838782,341.53236,96.99693,117.838782,341.53236,137.9385384,188.931633,292.36782,118318.712,-4962.98123,-0.78198618,43.495274,27698788.97,4.90E+01,2.99985526,266.126666,277.296179,276.1136338,76845.17225,,,43.495274
113,97.98569992,117.397358,3369.5859,97.98569992,117.397358,3369.5859,136.35324,187.83495,291.3328539,11298.476,-534.773498,-0.82468414,44.4711351,2769944.38,4.00E+00,3.99967394,216.53793,255.2129662,3.221393,68489.18646,25778.28849,0.69413198,44.4711351
114,98.98457257,116.7913749,33376.54692,98.98457257,116.7913749,33376.54692,134.7445964,185.2819376,29.659147,111891.251,-5213.63277,-0.8622695,45.466674,2646912.45,3.92E+02,4.999624377,186.2494,236.22516,279.4124581,59595.12757,1754.3476,0.5171887,45.466674
115,99.982766,116.3633874,336.85492,99.982766,116.3633874,336.85492,133.4253748,183.4727295,286.226664,11192.995,-4571.993612,-0.76929638,46.4578459,25894171.28,3.83E+02,1,74,,74,,,,46.4578459
116,1.979463,115.8646386,32758.3237,1.979463,115.8646386,32758.3237,131.9921421,181.772666,282.1132121,18482.362,-41.66422,-0.68475955,47.4426218,25343749.83,3.75E+02,1.999966937,69.99993387,3.999999999,11.862672,16,,,47.4426218
117,11.978569,121.7887826,3598.98475,11.978569,121.7887826,3598.98475,144.2311331,198.4952853,288.426333,11585.2,-614.9983,-0.9568975,48.438183,24816236.59,3.67E+02,2.99994855,286.673742,36.431711,296.673968,939.38741,,,48.438183
118,12.9733966,121.2474,35661.4962,12.9733966,121.2474,35661.4962,142.6359275,196.7719949,292.953471,19262.132,-284.828576,-0.44594155,49.414146,243121.43,3.60E+01,3.999797722,231.499997,282.5467,367.769628,1615.5267,4429.6556,0.58913289,49.414146
119,13.9728255,12.715644,35347.58128,13.9728255,12.715644,35347.58128,141.14469,195.99778,292.27752,193.4367,-3478.784385,-0.557862,5.4113847,2382445.93,3.53E+02,4.999775539,198.398566,26.8173955,347.8761956,97759.4776,26389.83215,0.381857388,5.4113847
12,14.9721481,12.194443,3539.966,14.9721481,12.194443,3539.966,139.63399,193.45642,291.5438,1889.5925,-4125.64225,-0.66724,51.481248,23357634.25,3.46E+02,5.999742968,176.3311435,243.15839,335.78512,91787.6815,1419.3225,0.222587,51.481248
